Town,Median_Price,Avg_Price,Transaction_Count,Flip_Rate,Avg_Days_To_Sell,Avg_YoY_Growth,Recent_Momentum,score_growth,score_momentum,score_flip,score_days,Investment_Score,Rank
Easton,610000.0,645447.8678534226,2688,0.03720238095238095,467.5706845238095,2.9691539112131675,11.462903427213185,0.03971576661594495,0.5673278121453209,0.364862548559865,0.38016722341345144,0.3141,103
Newtown,405000.0,442223.4975366762,9134,0.04412086708999343,470.2954893803372,2.8378778884516125,9.539141414141417,0.03633482710868048,0.517636959056916,0.508647821478661,0.2741550644505395,0.3109,104
Southington,244900.0,268089.40868158155,14214,0.037709300689461094,466.3125087941466,3.3587303167591176,9.305818580580478,0.049749085975419924,0.5116102205279988,0.3753977424294801,0.42911822448670733,0.3103,105
Woodbridge,405000.0,455303.33550154057,2921,0.04279356384799726,475.23587812393015,3.408863871628747,13.089260626601302,0.0510402472456407,0.6093366864836927,0.4810627898546356,0.08194266598476929,0.3092,106
Portland,225000.0,245532.2074776198,3798,0.037914691943127965,467.2143233280674,2.8029598592362226,9.942091176040837,0.0354355330715313,0.5280451682244212,0.3796663406280184,0.39403192995958136,0.3059,107
Shelton,315000.0,338076.4159337769,12926,0.03342101191397184,462.89238743617517,2.962912278953493,8.900375939849624,0.03955501691731278,0.501137620196234,0.2862752437102569,0.5621825972270571,0.3058,108
South Windsor,239900.0,269564.54757611116,9427,0.0338389731621937,467.4996287259998,3.5779843378348826,11.254979419540039,0.05539584892868285,0.5619571263491392,0.2949616341936234,0.3829317437843649,0.3044,109
Stamford,438000.0,506632.4241121846,37260,0.04151905528717123,463.26647879763823,2.7372640587906063,4.834396560716192,0.03374357499331175,0.3961132031341708,0.45457497769303556,0.5476280749892304,0.3037,110
Litchfield,279900.0,351559.3995350382,3011,0.04151444702756559,463.9857190302225,2.398609394572871,5.715132247705642,0.025021716199243864,0.41886264268778134,0.4544792053156834,0.5196450766153902,0.3033,111
Columbia,231500.0,249526.004806939,1787,0.03917179630665921,468.2193620593173,4.093298302063863,8.182155796295966,0.06866746779446292,0.48258596391237196,0.40579244544379334,0.3549295606703069,0.3032,112
Bethel,325000.0,344226.8196354333,6254,0.04013431403901503,465.8458586504637,2.6338974265931214,7.552687919577172,0.03108142600998881,0.4663267823850481,0.425796225473585,0.44727386931890933,0.303,113
Marlborough,265000.0,299021.99818181817,1925,0.026493506493506493,463.6451948051948,4.113496228947849,11.474197700004158,0.06918765394521906,0.5676195436828932,0.14230252515368158,0.5328936247409111,0.3029,114
Orange,372500.0,418028.1566820277,3906,0.040706605222734255,468.07428278688525,2.288082970705537,9.160411921483025,0.022175170842454135,0.5078543604547716,0.43769001876930824,0.36057406282775517,0.3017,115
Danbury,285000.0,308435.4041484485,22688,0.030941466854724965,462.96592912552893,4.471584540534367,7.835011056715146,0.07841001530462369,0.47361920080045283,0.2347434409477962,0.5593213599375346,0.3004,116
North Canaan,163500.0,193616.8036971831,1136,0.029049295774647887,459.94894366197184,3.2247833654856946,7.613231990626282,0.04629935821926666,0.4678906382671338,0.19541889367742704,0.676701194234731,0.2972,117
North Branford,265000.0,283228.5645278023,3399,0.0341276846131215,466.72962636069434,3.219904761807652,9.915788091520508,0.04617371254865292,0.527365758453467,0.30096185648802865,0.4128897104831637,0.2965,118
Killingworth,320000.0,330980.6673031026,2095,0.03914081145584725,460.9618138424821,2.3168464649978455,3.7895123344030557,0.02291595832347402,0.36912379995887235,0.40514849456469504,0.6372941319903234,0.2954,119
Watertown,215000.0,239327.32791327912,6642,0.03387533875338753,462.94052996085514,2.966223053039634,7.279174725983236,0.039640284026050465,0.4592619251790805,0.295717411736666,0.5603095482389726,0.2948,120
Farmington,275000.0,351169.3915620135,9635,0.029475869226777373,467.9179034769071,4.058908616780893,12.116093450970366,0.06778178095561976,0.5841997377207216,0.20428426957243717,0.36665820798339865,0.2948,120
East Granby,250000.0,267523.13488597766,2061,0.033964095099466275,466.21931101407085,2.8528510180134226,9.737199514714248,0.036720451567877135,0.5227528080609299,0.2975620140369911,0.43274420814300996,0.2941,122
East Haddam,232250.0,248220.9978425027,3708,0.03856526429341963,466.0393743257821,4.382368194105068,5.217873319025223,0.0761122989053046,0.4060184238062047,0.39318703302798774,0.4397448844506826,0.293,123
Haddam,260000.0,281110.49605167395,2748,0.030203784570596796,461.8533478893741,4.428733091636824,6.288320500362329,0.0773064005433479,0.43366811917667614,0.21941236324655033,0.6026078134917547,0.2914,124
Warren,325000.0,443081.5869506727,669,0.026905829596412557,459.5575485799701,6.390985518394483,4.006486872518569,0.12784309881688388,0.3747282613341164,0.15087173938680176,0.6919289407469478,0.2911,125
Ellington,235000.0,261334.52341331268,5168,0.040054179566563465,469.09636222910217,3.4364811235829444,7.4400818266726985,0.0517515139053842,0.46341816230556077,0.4241308095484143,0.32080870200147515,0.2901,126
Newington,207500.0,228813.04810836058,10705,0.03549743110695937,464.9168612797758,3.1746106660176414,6.887386250372152,0.045007188802116044,0.4491420125022341,0.32942897624929013,0.48341774828387685,0.2889,127
Somers,265000.0,283309.12068236095,2931,0.028659160696008188,465.4933469805527,3.7829466016339164,10.205227169662095,0.06067453577948112,0.5348419819219883,0.18731080794282684,0.46098880493984495,0.2883,128
Willington,209900.0,218708.1015678255,1467,0.025221540558963872,468.4001363326517,4.915767802073575,12.772694445618452,0.0898497032675294,0.6011597688165957,0.11586755579711416,0.3478962970018209,0.2872,129
Old Lyme,335000.0,390174.7088846881,3703,0.028085336213880638,464.86038347285984,4.126402398622394,9.284162748260588,0.06952004502488626,0.5110508494753411,0.17538514846630593,0.4856150925194882,0.2856,130
Barkhamsted,220000.0,229432.225177665,1182,0.04230118443316413,466.76480541455163,3.1518592740330513,3.971958960825861,0.04442123960600369,0.37383640393402556,0.4708297840881731,0.41152102257850487,0.2836,131
Trumbull,390000.0,418730.56035105785,10682,0.035948324283841974,469.1264744429882,2.678006146033662,9.700214184454104,0.03221742106098331,0.5217974754366785,0.33879978327350735,0.3196371462485672,0.2835,132
Burlington,300000.0,319528.3631381598,3467,0.03663109316411883,465.860974906259,2.6429523292659547,6.730850744852961,0.031314629892442075,0.4450986938614563,0.3529896085963268,0.4466857512713176,0.2821,133
Simsbury,305321.0,340144.23788099573,8235,0.03958712811171827,472.50856102003644,2.7966022265984343,9.784664051113147,0.03527179584895551,0.5239788190171089,0.4144241888273079,0.1880525672746174,0.2806,134
Guilford,359400.0,409661.34269562975,7757,0.036483176485754804,468.22237978599975,3.330080655525588,7.478072376231586,0.049011230200263475,0.46439945978625286,0.3499154910011222,0.35481215199790483,0.2797,135
Durham,285000.0,302009.49029345374,2215,0.028893905191873587,466.9367945823928,2.574484341799328,11.44666090229849,0.02955127570986396,0.566908267048871,0.19218944768175672,0.4048295551299681,0.2796,136
Middlebury,330000.0,363927.34663162153,2473,0.0303275374039628,467.71168621107967,4.048360325979483,9.53500196895557,0.06751011570895567,0.5175300370150002,0.2219842893248969,0.3746813651329539,0.2795,137
Madison,420000.0,500524.70235741447,6575,0.03452471482889734,471.8774144486692,2.535804395934652,12.119576719576722,0.028555095643148592,0.5842897106942027,0.30921324223873237,0.2126081645286355,0.279,138
New Fairfield,335000.0,381576.05906908785,4791,0.03464829889375913,462.6516384888332,2.827841688322131,4.540749585984971,0.03607635046681719,0.3885282895211171,0.3117816608408833,0.5715492553987893,0.2773,139
